"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","6.343","6.343","6.338","6.277","6.236","6.2872","6.2923","6.3025","6.328","6.2975","6.2698","6.3128","6.2822","6.231","6.2513","6.338","6.333","6.338","6.338","6.338","6.343","6.343","6.338","6.343"
"2","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.3482","6.343","6.343","6.3738","6.3943","6.343","6.4913","6.4045","6.4708","6.3533","6.343"
"3","6.5835","6.42","6.343","6.343","6.343","6.343","6.343","6.343","6.338","6.3178","6.318","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343"
"4","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.328","6.3006","6.3078","6.328","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.343"
"5","6.343","6.333","6.2973","6.2718","6.3027","6.343","6.343","6.2563","6.2668","6.0778","6.0727","6.2923","6.2923","6.3077","6.343","6.343","6.3228","6.2613","6.2615","6.282","6.2873","6.2923","6.282","6.2718"
"6","6.338","6.343","6.333","6.343","6.343","6.3075","6.1237","6.0318","6.0778","6.2003","6.1645","6.2718","6.2923","6.3128","6.333","6.318","6.323","6.323","6.343","6.343","6.343","6.343","6.343","6.338"
"7","6.338","6.3943","6.343","6.343","6.343","6.323","6.338","6.5783","6.6087","6.3177","6.1338","6.236","6.2923","6.318","6.3027","6.328","6.333","6.3328","6.343","6.343","6.343","6.3178","6.3127","6.343"
"8","6.343","6.338","6.338","6.328","6.343","6.343","6.343","6.343","6.343","6.2972","6.1798","6.2462","6.2565","6.2667","6.3027","6.313","6.3128","6.2562","6.2562","6.3128","6.3078","6.2923","6.282","6.2923"
"9","6.318","6.333","6.4248","7.2782","7.329","7.2575","7.1655","6.9665","6.9565","6.4712","6.292","6.0113","6.0268","6.1085","6.2613","6.2768","6.2513","6.226","6.246","6.3078","6.282","6.3078","6.318","6.323"
"10","6.2562","6.2412","6.0983","6.2413","6.3078","6.338","6.3073","6.343","6.343","6.2512","6.001","6.2617","6.323","6.3178","6.3078","6.3027","6.313","6.1953","6.2975","6.3128","6.3125","6.2562","2.6967","0"
"11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2452"
"14","7.4618","7.513","7.7888","7.8808","7.983","7.9933","8.1107","8.223","7.9267","7.738","7.4825","6.6907","6.3073","6.185","6.2208","6.282","6.3078","6.313","6.313","6.2975","6.2718","6.328","6.343","6.343"
"15","6.343","6.3433","6.3535","6.2512","6.282","6.3077","6.3075","6.343","6.3175","6.2872","5.9958","5.9245","5.9962","6.0113","6.1083","6.2872","6.313","6.2972","6.2872","6.2872","6.3128","6.241","6.1388","6.144"
"16","6.2463","6.323","6.343","6.3583","6.328","6.323","6.338","6.343","6.323","6.3128","6.277","6.282","6.2975","6.2463","6.2208","5.7762","5.72","6.0318","6.088","6.1595","6.3077","6.338","6.3075","6.343"
"17","6.3738","6.8798","6.338","6.3228","6.343","6.343","6.4403","6.9613","7.0993","6.6498","6.6597","6.4762","6.4557","6.328","6.343","6.343","6.343","6.3533","6.328","6.343","6.343","6.343","6.343","6.343"
"18","6.328","6.3178","6.343","6.2768","6.3228","6.6293","6.343","6.343","6.343","6.343","6.3278","6.3177","6.3228","6.3078","6.3078","6.2923","6.338","6.343","6.343","6.3533","6.6702","6.5473","6.343","6.3637"
"19","6.343","6.3635","6.4453","6.343","6.343","6.343","6.343","6.343","6.343","6.374","6.343","6.343","6.343","6.343","6.318","6.323","6.343","6.343","6.343","6.343","6.343","6.343","6.343","6.338"
"20","6.338","6.343","6.343","6.343","6.4455","7.135","7.5795","7.6305","7.5333","7.3907","6.5528","5.8683","5.9247","6.0013","6.1798","6.251","6.2975","6.3278","6.2515","6.2105","6.2923","6.2975","6.343","6.343"
"21","6.343","6.4967","6.5835","6.4507","6.5168","6.476","6.67","7.0942","7.2728","7.232","6.6755","6.0115","5.9398","5.8683","5.986","6.1137","6.2923","6.338","6.3078","6.2208","6.328","6.343","6.343","6.4963"
