"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.0163,0.0142,0.0122,0.0122,0.0142,0.0122,0.0122,0.0142,0.0122,0.0163,0.0142,0.0122,0.0122,0.0102,0.0122,0.0142,0.0142,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122
"2",0.0142,0.0122,0.0122,0.0142,0.0142,0.0122,0.0142,0.0163,0.0203,0.0142,0.0122,0.0163,0.0122,0.0195,0.0142,0.0142,0.0142,0.0122,0.0122,0.0142,0.0122,0.0142,0.0142,0.0183
"3",0.0142,0.0122,0.0163,0.0183,0.0142,0.0183,0.0142,0.0142,0.0183,0.0163,0.0163,0.0122,0.0163,0.0142,0.0122,0.0142,0.0122,0.0183,0.0163,0.0122,0.0203,0.0142,0.0163,0.0163
"4",0.0142,0.0183,0.0163,0.0142,0.0163,0.0142,0.0163,0.0183,0.0122,0.0163,0.0163,0.0183,0.0244,0.0142,0.0183,0.0224,0.0203,0.0203,0.0163,0.0163,0.0203,0.0163,0.0203,0.0203
"5",0.0163,0.0244,0.0203,0.0224,0.0203,0.0183,0.0203,0.0163,0.0203,0.0183,0.0203,0.0142,0.0163,0.0183,0.0183,0.0203,0.0203,0.0163,0.0203,0.0183,0.0183,0.0224,0.0183,0.0203
"6",0.0203,0.0163,0.0183,0.0163,0.0224,0.0224,0.0183,0.0203,0.0203,0.0183,0.0203,0.0203,0.0203,0.0224,0.0203,0.0244,0.0163,0.0163,0.0163,0.0183,0.0163,0.0183,0.0183,0.0203
"7",0.0203,0.0183,0.0224,0.0224,0.0203,0.0183,0.0203,0.0183,0.0203,0.0203,0.0122,0.0163,0.0203,0.0183,0.0183,0.0224,0.0183,0.0203,0.0142,0.0203,0.0163,0.0183,0.0163,0.0244
"8",0.0183,0.0183,0.0183,0.0203,0.0224,0.0224,0.0183,0.0203,0.0224,0.0224,0.0224,0.0183,0.0244,0.0224,0.0183,0.0224,0.0224,0.0183,0.0224,0.0183,0.0183,0.0203,0.0224,0.0224
"9",0.0224,0.0203,0.0163,0.0224,0.0203,0.0224,0.0244,0.0224,0.0224,0.0183,0.0163,0.0183,0.0142,0.0183,0.0163,0.0142,0.0163,0.0163,0.0163,0.0183,0.0224,0.0163,0.0224,0.0183
"10",0.0183,0.0203,0.0224,0.0203,0.0203,0.0224,0.0224,0.0224,0.0203,0.0203,0.0224,0.0224,0.0224,0.0203,0.0224,0.0203,0.0244,0.0244,0.0224,0.0224,0.0203,0.0224,0.0224,0.0203
"11",0.0224,0.0224,0.0244,0.0244,0.0244,0.0264,0.0224,0.0203,0.0224,0.0244,0.0244,0.0244,0.0224,0.0244,0.0244,0.0203,0.0244,0.0285,0.0244,0.0244,0.0224,0.0224,0.0203,0.0244
"12",0.0244,0.0224,0.0203,0.0224,0.0244,0.0244,0.0244,0.0244,0.0203,0.0224,0.0244,0.0224,0.0244,0.0244,0.0244,0.0163,0.0224,0.0224,0.0203,0.0224,0.0244,0.0244,0.0244,0.0224
"13",0.0224,0.0203,0.0244,0.0183,0.0264,0.0224,0.0224,0.0244,0.0244,0.0244,0.0203,0.0244,0.0244,0.0224,0.0244,0.0203,0.0203,0.0224,0.0183,0.0203,0.0183,0.0224,0.0203,0.0203
"14",0.0224,0.0203,0.0244,0.0224,0.0244,0.0224,0.0244,0.0224,0.0203,0.0203,0.0224,0.0224,0.0224,0.0224,0.0183,0.0203,0.0203,0.0244,0.0224,0.0183,0.0183,0.0183,0.0264,0.0183
"15",0.0203,0.0203,0.0203,0.0224,0.0203,0.0224,0.0244,0.0203,0.0244,0.0183,0.0224,0.0203,0.0224,0.0183,0.0244,0.0203,0.0183,0.0203,0.0224,0.0163,0.0224,0.0203,0.0244,0.0244
"16",0.0244,0.0244,0.0224,0.0224,0.0224,0.0224,0.0244,0.0244,0.0244,0.0244,0.0203,0.0244,0.0224,0.0224,0.0224,0.0224,0.0244,0.0224,0.0224,0.0203,0.0244,0.0244,0.0244,0.0244
"17",0.0244,0.0244,0.0244,0.0224,0.0244,0.0224,0.0224,0.0224,0.0244,0.0203,0.0244,0.0285,0.0264,0.0264,0.0224,0.0264,0.0244,0.0264,0.0224,0.0244,0.0244,0.0264,0.0244,0.0285
"18",0.0244,0.0264,0.0244,0.0264,0.0264,0.0285,0.0264,0.0285,0.0285,0.0244,0.0224,0.0264,0.0264,0.0244,0.0244,0.0244,0.0244,0.0305,0.0244,0.0244,0.0264,0.0244,0.0244,0.0244
"19",0.0224,0.0285,0.0264,0.0285,0.0285,0.0264,0.0325,0.0264,0.0264,0.0285,0.0285,0.0244,0.0244,0.0264,0.0264,0.0264,0.0244,0.0305,0.0244,0.0285,0.0264,0.0264,0.0264,0.0285
