"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","7.9921","7.3207","7.0461","7.1499","7.1865","7.278","7.278","7.2017","7.2231","7.2322","7.3146","6.9759","6.899","6.7635","6.8752","6.9576","7.0247","7.0156","7.0552","7.1041","7.1346","7.1438","7.1773","7.2444"
"2","7.1864","7.1468","7.0797","7.0094","7.098","7.1254","7.2932","7.3756","7.3543","7.2292","7.1834","7.0918","7.0308","7.0827","7.0461","7.0674","7.1193","7.2109","7.3207","7.4001","7.3909","7.4001","7.4642","7.394"
"3","7.3543","7.3421","7.3574","7.3634","7.2872","7.2872","7.2811","7.2413","7.223","7.1895","7.4519","7.3695","7.1529","7.1071","7.1346","7.1621","7.2048","7.2231","7.1681","7.2139","7.2505","7.2475","7.2688","7.3452"
"4","7.3513","7.3848","7.4123","7.3726","7.3299","7.3177","7.4062","7.4763","7.4855","8.343","8.3491","8.343","8.3857","8.3827","8.3217","8.3399","8.285","8.3003","8.2362","8.1294","8.1508","8.1996","8.2637","8.2759"
"5","8.3583","8.7672","8.4834","11.2237","9.1578","8.2301","8.3034","8.3491","8.4468","8.1233","8.1599","8.4009","8.3979","8.3491","8.3674","8.4406","8.3796","8.4498","8.3918","8.462","8.4651","8.4223","8.4406","8.4284"
"6","8.3796","8.404","8.4315","8.4772","8.4468","8.5963","8.7214","8.8648","8.874","8.9167","8.8495","8.5474","8.5414","8.5292","8.5078","8.6848","9.1791","8.3003","8.2331","8.1935","8.1203","8.1386","8.2423","8.227"
"7","8.2148","8.2576","8.224","7.9768","8.1019","8.1965","8.2453","8.3155","8.2087","7.5069","6.1123","6.1642","6.1581","6.1153","6.094","6.152","6.2008","6.1917","6.1642","6.1673","6.1214","6.1428","6.0726","5.9963"
"8","5.9902","5.978","6.0086","6.0879","5.9963","5.9719","6.3412","6.5731","6.2222","6.7104","7.4611","7.1956","6.1245","5.9719","6.5151","6.1733","6.3778","6.4297","6.274","6.155","6.0574","5.859","5.8712","5.8224"
"9","5.8224","5.8773","5.798","5.7889","5.7858","5.8255","5.8559","5.8316","5.7889","5.8407","7.7723","6.0116","6.0634","6.1489","6.1031","6.1001","6.1245","6.1428","6.2527","6.393","6.2832","6.4144","6.3442","6.2435"
"10","6.1642","6.1703","6.2222","6.2069","6.213","6.2862","6.5182","6.9576","7.1926","7.1895","7.6533","6.744","6.57","6.5334","6.3167","6.3045","6.2557","6.3473","6.329","6.2801","6.2283","6.2832","6.2008","6.2008"
