"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",80,61,52,54,64,78,96,100,98,98,89,86,86,91,103,93,91,79,84,92,85,93,106,112
"2",114,119,120,125,120,116,125,150,143,99,105,116,101,110,117,100,95,135,129,106,100,95,101,115
"3",109,91,84,87,90,84,76,76,70,68,91,78,82,57,49,51,49,54,67,65,61,56,59,63
"4",50,97,120,64,41,35,34,37,45,50,61,62,39,36,20,13,14,16,20,24,18,23,30,52
"5",66,30,24,16,14,15,15,16,17,16,46,38,22,16,18,22,30,41,55,73,91,86,59,49.602140077821
"6",37,35,41,45,53,56,31,24,21,19,19,24,21,24,28,28,23,25,27,32,46,56,44,38
"7",96,79,48,25,18,16,15,19,42,66,78,52,31,34,39,31,52,68,88,114,128,126,108,84
"8",99,108,58,32,23,17,15,16,17,21,19,28,26,28,29,33,37,44,66,78,117,105,121,115
"9",116,99,89,89,79,67,67,116,137,164,183,178,141,99,54,65,71,69,76,65,44,41,64,60
"10",56,50,39,70,30,27,20,20,20,22,26,34,33,29,23,29,22,21,27,50,43,52,109,149
"11",150,151,194,81,46,27,21,20,21,18,19,19,17,20,22,29,24,21,19,23,47,91,49,45
"12",63,79,119,135,130,40,33,133,109,72,29,34,24,37,23,22,29,40,58,74,94,106,100,89
"13",82,89,86,88,87,68,29,20,24,36,34,19,21,21,20,17,18,21,39,99,119,94,102,89
"14",119,119,113,106,86,80,113,139,147,142,133,130,75,55,24,26,31,35,43,48,52,45,62,67
"15",87,119,119,138,138,127,132,128,127,135,135,123,110,114,101,69,55,100,86,113,132,158,122,110
"16",120,130,145,134,114,110,110,113,133,138,132,135,139,124,97,90,92,89,89,90,102,99,111,119
"17",116,106,102,99,92,82,81,72,57,47,47,39,29,27,27,25,30,36,34,30,27,26,22,19
"18",23,20,16,21,24,26,33,29,34,39,38,23,22,19,17,16,16,19,22,27,32,32,26,21
"19",28,32,35,45,42,39,41,46,55,57,56,48,37,29,29,26,20,21,26,33,36,30,26,31
"20",41,41,48,55,48,78,135,162,190,210,216,190,103,72,45,37,32,44,50,46,43,39,38,56
"21",98,114,124,135,141,160,156,179,205,194,155,112,108,73,51,50,50,79,95,84,87,83,94,95
"22",96,92,102,109,121,126,115,103,77,80,56,58,47,34,30,21,18,18,21,23,21,21,22,22
"23",21,17,13,11,11,13,13,17,20,22,25,27,27,26,24,24,24,25,33,31,34,35,32,42
"24",39,26,20,19,17,15,16,28,49,56,50,55,45,38,41,41,39,43,54,65,60,60,59,53
"25",61,70,78,90,97,104,91,87,109,123,94,99,52,47,30,35,36,33,39,37,46,49,45,56
"26",61,69,69,70,78,95,154,160,178,186,184,81,40,31,34,18,20,29,37,39,48,67,77,94
"27",94,86,77,70,70,69,68,70,63,70,86,115,59,39,34,23,22,24,34,52,71,66,73,68
"28",48,92,119,131,120,114,114,116,122,129,153,156,180,170,175,101,129,64,42,35,41,50,63,58
"29",49,54,59,51,42,49,55,68,73,72,69,64,55,46,34,26,28,28,25,21,25,27,36,47
"30",52,56,46,48,55,50,49,62,64,49,38,26,27,30,35,29,27,24,25,28,34,47,72,102
"31",85,58,68,109,126,103,94,94,105,110,49,31,21,18,20,22,17,15,16,26,39,38,46,51
"32",53,62,95,109,106,104,108,134,158,178,145,117,115,69,25,23,23,30,34,51,57,68,75,82
"33",119,122,98,82,78,86,91,101,121,102,91,84,102,72,44,36,36,34,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821
"34",49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,49.602140077821,152,118,84,56,51,33,37,50,37,25,28,31,30,30
"35",19,18,17,18,14,14,16,21,28,41,37,36,25,27,27,25,24,22,27,49,62,99,124,89
"36",111,131,125,51,32,34,26,19,24,28,29,28,28,20,20,21,19,19,23,26,27,30,92,127
"37",156,198,126,102,71,55,129,139,127,124,110,75,42,28,30,30,31,30,26,33,49,57,66,70
"38",84,77,54,48,42,42,42,72,97,107,78,90,60,55,55,44,42,49,62,77,79,74,66,61
"39",95,120,100,139,173,185,116,72,49,49.602140077821,49.602140077821,95,75,75,62,48,54,45,50,64,65,50,82,196
"40",194,119,118,78,63,45,39,42,38,41,37,36,26,20,19,19,16,16,20,28,38,61,68,74
"41",62,46,41,33,33,37,38,38,38,32,29,25,22,23,25,25,26,26,30,33,29,26,24,24
"42",19,18,19,20,21,23,23,27,33,38,35,33,29,29,30,30,28,34,38,44,40,28,21,19
"43",22,20,16,12,14,25,32,34,38,50,66,79,120,137,73,76,87,108,110,110,95,57,61,74
"44",62,54,51,40,35,29,18,16,16,23,26,27,22,20,20,20,21,20,20,19,15,16,15,18
"45",16,14,14,14,14,14,14,14,16,20,20,18,14,12,16,12,11,13,15,18,20,46,67,51
"46",52,58,56,52,46,43,41,41,40,42,48,35,24,18,20,16,12,14,18,22,21,24,26,33
"47",37,37,35,33,34,34,38,39,45,62,59,18,13,13,17,13,12,11,14,20,32,31,25,18
"48",16,16,20,26,26,23,28,30,34,41,41,37,30,17,14,14,15,15,24,29,33,33,28,22
"49",23,24,25,24,27,29,35,36,42,58,68,41,22,16,15,13,10,11,15,22,29,22,23,24
"50",27,26,19,15,18,16,20,27,33,44,43,34,21,26,16,17,19,18,19,23,23,20,23,21
