"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","9.2137","8.9378","7.6917","8.9378","7.5587","8.9997","9.02","7.2935","8.9854","9.071","7.9676","9.0402","7.5018","9.083","9.0708","7.9267","9.4264","7.1197","8.3148","8.6213","7.559","8.7542","7.6408","8.887"
"2","9.1117","7.661","9.1013","9.4283","7.9165","9.3772","8.2333","9.7962","9.8983","8.9025","9.592","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968"
"3","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","","","7.968","7.968","7.968","7.968"
"4","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","7.968","5.32","0","10.787","16.573","16.733","5.9298","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0","0","0","0","0","0","0","0","0","0","0","0.3267","1.1435","0.827","1.5013","1.5727","1.7873","2.3593","1.0618","2.0937","2.2775","1.8077","2.7168","3.095"
"7","3.3298","2.6963","2.3492","1.8077","2.4003","2.768","2.7372","3.0233","2.196","1.879","4.6883","0","0","0","0","1.4607","9.9087","12.7995","11.9313","11.0222","10.6442","10.736","10.971","10.552"
"8","11.0833","10.9812","18.2343","22.3717","21.9222","22.341","22.157","22.1367","22.2695","12.9628","11.7883","12.0742","12.3603","11.5428","10.8588","11.2263","10.6953","10.92","11.2773","12.3603","14.0458","12.4318","11.9517","12.9835"
"9","10.2762","10.3172","11.1343","11.022","10.5725","10.6853","10.8792","10.8792","11.3183","10.3785","12.4828","15.1288","14.0663","15.3333","15.3537","15.3537","15.415","15.4252","15.4252","15.4967","14.4443","11.2672","12.4013","12.4627"
"10","12.5238","13.3513","13.627","13.3308","13.7497","14.7508","14.3627","13.7188","12.6772","11.063","13.3205","12.0132","12.5135","11.2777","11.7473","10.7768","11.8393","11.6248","12.0232","11.022","11.8903","11.2878","11.625","11.2263"
"11","11.5432","11.6862","11.2267","10.8993","11.727","14.3317","10.7053","10.6953","10.8688","13.3002","10.971","12.3093","8.4477","4.6475","3.1868","4.3718","3.279","4.3512","3.3912","4.2083","3.585","4.106","3.9733","4.1778"
"12","3.5853","4.4635","5.1377","6.9255","6.0163","3.3808","8.8155","3.146","5.9247","3.1053","4.6887","3.0335","4.5352","3.3402","4.5352","3.6873","4.3613","3.575","4.1775","3.9732","3.9323","4.2492","3.9123","4.4228"
"13","4.0755","5.1377","3.5647","5.1993","3.3297","4.7192","3.3197","5.0153","3.146","4.4228","3.5955","3.6565","2.962","3.8098","3.7385","3.9323","3.7078","3.7383","4.055","3.6668","4.4332","3.4215","4.2185","3.4625"
"14","4.525","3.8303","4.382","3.2787","4.341","3.5748","4.2902","3.9427","3.7588","3.248","6.5682","3.2787","4.5353","3.0335","2.2572","2.2467","3.1968","3.105","2.3695","2.206","2.645","3.6465","2.2367","2.2978"
"15","2.2773","2.9008","2.9725","2.9725","2.9213","6.2107","2.8698","2.8395","2.8292","3.9732","2.9518","2.7883","2.6658","2.8395","2.9108","2.7065","3.9325","1.7057","2.2978","1.8077","1.9813","1.787","1.6952","1.8895"
"16","1.6438","1.6542","1.685","1.6337","1.6645","1.6542","1.6645","1.6235","1.685","1.6237","1.6442","1.8383","1.7055","1.685","1.8075","1.7973","1.8383","1.8485","1.8178","1.8793","1.777","1.7565","1.7465","1.7567"
"17","1.7362","1.7465","1.7463","1.7565","1.777","1.7465","1.7465","1.7768","1.7872","1.7567","1.6542","1.7362","1.7565","1.7667","1.7667","1.8075","1.7973","1.8382","1.9403","1.8587","1.9098","1.9608","1.9507","1.9405"
"18","1.9405","1.9915","1.9812","1.9913","1.9813","1.8893","1.9097","2.0118","1.9913","2.0017","1.9915","5.812","13.3512","13.1982","12.3707","12.6362","12.5647","12.3295","13.055","13.433","13.5762","13.5353","13.0753","13.5553"
"19","13.3103","13.3613","17.4375","14.2707","14.1888","14.4852","14.383","14.3627","14.0972","13.8825","13.9743","13.2593","13.2693","14.1072","13.4125","13.5042","13.4328","13.1572","13.3105","12.9632","13.3615","13.7598","13.913","13.5555"
"20","13.627","13.9437","13.525","13.5963","13.0958","13.1777","13.147","12.6768","12.8507","12.667","12.6668","12.5033","12.5342","12.6565","13.4227","12.9835","13.1472","13.913","13.862","13.4228","13.392","13.6985","14.2195","14.1687"
"21","13.6782","13.6578","13.4943","13.6272","13.7495","14.0357","13.9233","14.2198","12.8403","13.433","13.443","11.3797","11.7168","11.4307","11.5842","11.3693","11.4308","10.8483","11.727","11.5635","11.3387","15.0673","11.0423","12.105"
