"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",178,158,139,120,99,88,95,104,119,134,136,102,90,85,84,80,81,88,99,100,90,87,89,89
"2",89,91,91,91,92,93,97,142,155,144,152,163,157,164,163,129,120,117,150,141,109,96,100,120
"3",125,118,112,108,105,97,90,90,106,117,95,81,67,41,39,28,34,42,67,78,83,86,86,74
"4",69,67,73,80,86,95,98,88,70,75,96,115,62,22,21,14,13,16,32,35,35,36,37,30
"5",39,40,41,39,30,27,20,25,48,72,67,82,32,40,27,19,23,31,42,48,50,60,65,42.5116376892877
"6",74,64,62,64,84,67,63,53,52,50,44,37,41,32,36,33,29,38,44,57,66,74,68,74
"7",72,75,138,151,126,97,87,64,137,175,104,120,94,53,38,36,39,40,53,101,112,127,117,107
"8",101,114,100,88,78,64,46,42,39,37,39,38,34,26,23,25,30,39,46,50,55,62,98,120
"9",136,138,124,117,119,111,100,93,83,81,92,82,74,93,78,57,67,57,47,49,69,81,83,76
"10",71,70,64,61,86,78,78,62,53,69,37,28,32,33,23,21,24,26,28,34,48,66,63,58
"11",76,100,125,108,101,96,99,96,94,109,115,36,30,28,23,25,29,28,30,31,38,44,48,71
"12",77,83,84,72,73,71,77,78,90,119,134,114,98,38,20,21,21,26,45,71,84,94,91,91
"13",93,90,81,74,62,48,41,34,27,41,50,19,18,24,20,18,22,26,25,38,64,68,89,91
"14",118,99,83,73,62,57,55,53,54,72,101,127,100,79,60,49,38,38,42,46,56,74,87,99
"15",95,82,70,66,60,57,58,59,62,66,58,55,42,37,29,49,56,55,64,74,89,101,126,109
"16",107,109,108,101,83,87,83,78,89,79,71,65,53,44,36,29,24,34,70,83,97,119,117,103
"17",114,111,112,114,107,100,90,95,104,89,83,80,63,42,29,25,25,30,43,43,47,51,36,38
"18",41,47,57,49,48,44,40,39,37,45,60,20,16,20,16,15,14,18,26,33,36,43,42,44
"19",46,50,53,47,44,45,44,46,48,56,72,51,37,28,21,16,15,21,31,42,34,44,50,45
"20",38,39,43,46,48,46,45,43,45,49,51,41,49,41,24,21,28,33,40,42,43,56,83,84
"21",75,70,62,54,52,48,56,54,56,57,52,78,32,26,41,41,35,57,85,77,66,73,90,104
"22",106,100,91,93,90,91,106,110,111,85,53,48,54,62,35,26,18,19,31,39,31,21,21,20
"23",20,16,18,16,14,13,12,16,26,50,51,31,21,18,21,23,18,23,34,45,61,72,71,65
"24",48,46,40,24,20,17,15,16,38,54,49,32,36,41,39,37,41,50,64,71,83,92,88,83
"25",71,61,58,58,57,60,65,68,79,87,107,118,103,36,40,31,29,38,54,72,73,81,86,76
"26",75,69,84,95,97,102,86,79,82,84,82,35,40,33,26,25,23,24,33,39,49,88,69,64
"27",74,73,74,73,80,95,112,105,109,108,99,95,70,37,42,36,30,28,34,37,52,72,91,91
"28",85,82,70,55,50,46,43,42,44,49,61,87,154,84,111,114,91,53,48,46,50,44,46,35
"29",33,36,37,37,35,34,35,48,69,64,40,22,27,32,37,32,31,28,37,31,42,37,41,51
"30",57,63,63,63,65,80,76,80,86,87,35,22,24,34,38,31,27,25,27,29,33,49,53,47
"31",50,62,72,76,59,59,60,55,58,97,93,61,43,29,24,28,27,21,21,24,41,53,52,52
"32",65,63,60,51,48,47,48,47,44,52,82,98,77,94,42,19,21,20,24,28,42,69,76,96
"33",42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,42.5116376892877,143,117,93,55,66,68,61,58,70,70,93,96,114
"34",107,99,90,84,83,82,87,89,88,92,85,77,90,74,52,49,41,46,54,64,47,42,44,43
"35",33,19,17,15,17,17,16,16,20,19,17,17,18,15,18,21,19,19,21,24,32,38,75,104
"36",118,119,121,110,83,76,79,82,69,49,42,43,27,22,22,25,25,25,35,43,61,57,65,64
"37",53,44,85,84,95,85,87,78,75,105,155,129,104,39,45,31,24,25,28,36,65,80,76,72
"38",72,82,81,86,91,85,76,65,62,70,72,78,79,53,51,46,43,42,58,66,79,79,78,70
"39",70,93,100,105,106,102,144,142,125,110,80,49,55,43,30,30,32,35,40,39,57,46,52,53
