"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",153,82,66,67,80,100,117,117,109,113,108,107,107,109,125,112,114,116,112,130,125,127,137,143
"2",144,156,159,154,146,137,151,164,113,100,107,105,104,118,115,98,108,155,138,114,101,108,128,131
"3",119,107,103,103,102,93,90,86,80,80,85,91,82,58,53,52,54,62,79,85,75,73,78,83
"4",101,131,106,75,51,46,40,36,36,33,31,38,52,41,23,19,19,22,34,52,47,44,43,56
"5",42,37,31,22,20,21,19,18,17,18,28,36,32,25,23,28,33,52,61,93,115,96,84,53.389224848818
"6",54,52,58,61,72,52,40,38,34,29,29,30,29,34,34,33,31,30,46,69,92,76,53,53
"7",63,74,56,32,23,21,21,20,21,39,49,62,52,43,45,40,54,76,97,132,136,128,95,86
"8",100,93,61,48,35,24,22,24,27,30,34,39,35,34,34,37,41,49,72,93,100,76,102,111
"9",107,105,117,116,103,90,85,138,153,168,184,191,148,119,73,86,82,88,92,103,96,66,87,72
"10",56,46,47,79,37,31,26,24,25,26,29,36,34,34,31,32,30,31,33,37,49,50,81,121
"11",126,148,136,96,60,41,35,32,32,30,29,28,26,29,29,30,30,27,28,49,37,66,61,49
"12",56,73,111,88,77,54,39,27,25,25,38,36,35,33,34,34,42,51,71,90,109,129,136,128
"13",104,95,97,100,68,36,28,26,29,34,38,23,33,29,26,24,32,33,47,69,79,117,118,128
"14",128,131,141,136,135,135,130,146,182,196,146,100,89,82,42,47,52,64,70,64,63,52,58,63
"15",104,148,126,134,140,136,132,127,133,141,155,142,144,132,105,95,133,126,127,169,199,169,138,146
"16",146,150,144,128,114,111,112,115,129,136,125,137,137,136,92,112,97,102,105,110,118,109,132,128
"17",126,122,112,105,97,87,85,78,62,53,55,46,35,34,36,32,40,44,51,56,52,37,30,29
"18",31,26,22,29,28,26,26,26,33,40,42,26,24,23,24,18,18,25,49,69,58,48,36,32
"19",35,38,37,40,36,36,37,39,41,50,55,48,36,33,34,27,24,28,32,46,54,39,37,36
"20",49,52,59,65,73,69,79,84,101,126,100,67,73,49,42,42,41,54,61,64,64,68,61,110
"21",138,158,142,123,154,167,162,181,200,162,132,153,92,62,49,57,58,96,101,103,105,113,122,102
"22",103,96,102,108,119,120,123,97,79,78,58,58,43,39,33,24,22,23,30,58,54,47,45,30
"23",26,21,16,15,15,15,15,17,20,23,24,25,28,28,27,28,26,29,41,48,51,44,43,50
"24",42,36,23,18,19,14,16,22,36,41,53,67,64,63,71,68,63,65,72,86,83,77,77,77
"25",82,101,97,119,138,154,137,144,132,146,117,119,91,66,56,57,62,59,72,74,79,92,89,98
"26",94,95,102,103,108,100,124,120,137,103,60,65,55,48,45,34,40,55,61,92,98,94,124,123
"27",129,111,95,89,92,98,91,89,88,103,119,137,88,58,52,38,35,39,50,59,81,74,67,70
"28",72,104,113,133,132,134,133,135,142,156,180,206,198,196,192,125,139,73,63,56,61,66,68,73
"29",68,58,55,56,57,56,58,63,75,82,73,53,46,43,38,31,34,32,41,55,59,50,46,51
"30",56,59,48,53,65,61,61,63,54,48,38,29,32,34,43,39,32,40,41,34,45,45,30,57
