"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",167,141,106,79,68,72,86,106,148,142,133,89,84,76,98,75,74,89,106,96,103,102,102,115
"2",118,128,108,114,139,187,154,147,165,139,131,152,146,120,129,108,119,157,165,138,104,102,109,126
"3",127,110,101,101,101,97,98,97,92,100,104,92,88,76,49,42,53,55,61,62,70,81,84,110
"4",133,152,144,153,86,32,47,148,129,120,86,67,39,24,23,9,9,9,10,12,13,14,18,26
"5",66,39,25,18,12,37,76,91,51.7877786952931,51.7877786952931,76,41,26,14,14,19,24,68,135,150,169,118,101,51.7877786952931
"6",52,48,66,53,63,88,99,102,99,190,158,42,17,18,21,22,19,23,44,60,77,64,98,51.7877786952931
"7",211,173,150,142,118,127,111,141,167,135,44,31,30,21,27,29,33,45,99,102,99,100,96,106
"8",118,96,92,29,26,19,86,121,52,14,15,21,24,24,26,29,36,52,130,202,227,221,180,122
"9",112,124,114,97,85,86,106,140,173,198,246,232,209,118,60,45,63,73,118,263,282,110,69,74
"10",65,110,192,186,80,21,17,12,11,13,14,19,26,28,20,20,22,40,112,165,156,280,259,137
"11",135,115,107,98,99,126,130,171,166,270,220,42,15,13,14,16,19,21,53,192,142,165,136,125
"12",78,113,152,112,101,124,171,158,145,245,174,95,43,26,26,17,20,38,121,131,119,112,71,76
"13",75,71,72,70,85,79,45,15,13,16,15,20,13,20,17,14,14,89,51.7877786952931,196,195,109,89,76
"14",64,60,73,74,64,99,134,174,197,290,268,214,49,35,20,13,21,28,42,119,281,180,112,78
"15",106,131,122,152,166,158,143,136,132,149,148,138,127,98,63,42,54,100,121,138,153,140,148,124
"16",123,145,161,155,126,115,112,108,118,128,126,122,122,108,90,70,80,64,66,81,112,125,112,130
"17",133,125,117,115,109,94,94,92,84,74,69,64,38,22,20,23,24,28,36,33,33,31,27,29
"18",26,20,19,20,27,25,24,32,114,51.7877786952931,53,16,12,13,12,10,9,11,14,19,24,20,18,19
"19",20,25,27,28,42,38,48,50,130,147,43,38,39,30,27,24,19,20,25,28,35,38,47,73
"20",71,94,103,122,152,213,253,293,304,253,236,183,71,60,26,24,27,32,50,52,49,47,88,113
"21",132,116,108,126,141,149,188,190,199,167,135,97,70,66,51,44,40,50,92,83,78,79,95,110
"22",109,108,127,136,149,147,131,101,108,120,67,51,51,38,36,26,14,13,15,16,12,15,14,22
"23",18,17,9,9,9,11,13,16,21,20,31,21,27,25,23,23,24,23,32,42,33,23,24,26
"24",36,30,24,18,18,17,14,54,54,42,47,40,43,36,35,37,40,62,96,102,122,122,83,77
"25",97,106,87,84,88,77,74,90,158,166,198,121,37,38,27,22,30,42,85,61,57,70,93,122
"26",82,98,77,84,116,168,178,177,196,226,268,235,92,54,24,19,15,18,24,39,69,81,48,70
"27",76,72,85,108,103,104,89,93,123,240,173,90,47,37,28,23,20,23,28,57,68,74,142,120
"28",79,100,143,149,140,136,118,123,138,156,230,234,147,145,130,125,125,64,38,34,37,50,57,62
"29",52,48,44,42,43,39,45,56,72,74,66,50,48,46,28,27,25,26,24,23,29,32,38,45
"30",51,59,59,56,54,58,54,72,76,53,60,37,29,27,31,29,26,22,22,36,80,184,133,146
"31",159,125,105,74,71,80,79,77,137,193,148,153,74,19,20,22,18,15,21,151,162,138,109,126
"32",88,92,88,90,72,66,79,131,200,220,152,131,85,75,53,18,20,25,73,108,102,201,159,132
"33",113,99,94,99,86,84,82,105,156,271,253,144,61,47,38,36,37,38,96,175,244,181,128,105
"34",103,119,118,108,92,87,100,122,129,185,193,176,93,43,42,30,26,35,42,19,18,23,23,24
"35",16,11,11,10,10,13,10,11,38,70,37,32,28,23,23,24,20,22,31,52,89,96,107,121
"36",123,116,112,110,111,122,115,139,181,236,99,27,16,14,13,14,17,15,18,23,27,126,171,148
"37",161,150,130,114,92,101,107,136,171,214,129,72,55,33,20,19,21,24,26,67,117,135,115,83
"38",61,80,67,56,53,61,70,76,115,142,222,111,42,46,43,39,39,49,55,87,82,75,73,76
"39",102,142,116,88,94,137,176,107,260,51.7877786952931,152,140,121,92,56,43,37,37,41,61,76,105,208,179
"40",184,224,205,193,182,162,113,95,78,186,36,27,21,12,12,14,11,10,45,74,147,104,68,62
