"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","5.7675","6.0355","5.9365","5.0635","4.77","4.7622","4.955","4.9737","5.1837","5.4995","5.8065","6.4663","6.2825","5.0323","5.0807","4.9715","4.5603","4.261","4.1447","4.0947","4.1063","4.1052","4.082","4.039"
"2","4.0427","3.969","3.96","3.9543","4.0345","4.048","4.0583","4.0053","4.2272","4.4322","4.434","4.399","5.375","5.463","5.6893","5.6997","5.558","5.1505","5.0207","5.1008","5.3022","5.2802","5.1492","5.1698"
"3","5.114","5.0555","5.049","4.6772","4.809","5.0005","5.0177","5.0105","4.9185","4.9623","5.0642","5.7638","5.6385","5.7165","6.0862","6.2512","6.0648","5.4205","4.9697","4.6463","4.6882","4.5458","4.5945","4.58"
"4","5.4655","5.7937","5.7235","5.7478","5.6483","5.7045","5.6633","5.7153","6.3153","6.5227","5.7803","5.6422","4.9507","5.2255","5.6308","5.5402","5.2745","4.5435","4.8762","5.7865","5.7668","5.4918","5.5093","5.4097"
"5","5.404","5.2457","5.2973","5.2707","5.057","5.0668","5.0475","5.2372","5.4598","6.0753","5.9387","5.7395","5.9377","5.9628","5.9228","5.7987","5.7547","5.8133","5.7722","5.8257","5.5683","5.5738","5.543","5.6375"
"6","5.6623","5.7382","5.7835","5.7562","5.7692","5.6987","5.7587","5.7115","6.1835","6.6345","6.9735","6.717","6.2447","6.3673","6.3558","6.1705","6.001","5.8442","5.8545","5.5978","5.2827","5.3253","5.4223","5.3523"
"7","5.1125","4.9758","4.899","4.946","4.8065","4.8223","4.7262","4.9898","6.3663","6.8872","6.788","6.1912","5.9868","5.8307","5.9233","6.1695","6.3508","6.8353","6.7672","6.8195","6.8262","6.6615","6.5137","6.6242"
"8","6.6333","6.712","6.6173","6.6137","6.4958","6.384","6.2912","6.0722","6.687","7.1652","7.3647","7.0967","6.6482","6.592","6.5093","6.4678","5.5982","5.3592","4.9985","4.6043","4.3923","4.2978","4.4112","4.7595"
"9","4.9468","4.9337","4.8353","4.7935","4.74","4.8865","5.3967","5.46","5.5987","5.8785","5.8107","6.3338","6.3585","6.5242","6.6402","6.2285","6.1915","6.0317","6.1082","6.0115","6.015","5.8622","5.7327","5.5747"
"10","6.1555","6.1605","6.1645","6.127","6.0827","5.7495","5.4313","5.5713","6.0083","6.603","6.5957","5.8673","5.7532","5.8128","5.7988","5.7477","5.7565","5.7118","5.544","5.4175","5.455","5.1847","5.0912","4.7835"
"11","4.8233","4.828","4.9033","4.8607","4.9913","5.0992","4.977","5.1877","5.8778","6.4253","6.1703","4.2845","3.7063","3.0773","3.035","2.9467","2.915","2.966","2.8818","3.1","3.0177","2.9403","3.0923","3.0727"
"12","3.1668","3.0473","3.2478","3.1528","3.0052","3.0818","3.0108","3.108","3.8657","3.7905","4.1892","4.3498","4.4258","4.488","3.8805","3.4565","3.2632","2.8937","3.1007","3.5483","3.4658","3.6908","3.7032","3.6938"
"13","3.684","3.6752","3.7072","3.5855","3.709","3.697","3.7833","3.8397","4.0403","4.251","4.3297","4.3917","4.4308","4.4578","4.2157","3.6948","3.6412","3.4752","3.3678","3.2718","3.6217","3.5573","3.5497","3.4913"
"14","3.4588","3.565","3.4588","3.4278","3.4907","3.3698","3.213","2.6548","3.3613","4.3725","4.629","4.9512","4.7978","4.914","5.0225","4.9218","4.924","4.5335","4.403","4.2275","4.3052","4.2077","4.192","4.2735"
"15","4.2773","4.25","4.1785","4.2118","4.0708","4.1547","4.002","4.1823","3.9438","4.163","4.705","4.9968","5.336","5.6358","5.7552","5.1185","5.0278","4.98","5.0063","5.2355","5.2217","5.1627","5.0673","4.997"
"16","5.1548","5.2253","5.0893","5.0862","4.9447","4.985","4.95","4.2787","4.3553","4.6512","4.9497","5.02","4.8305","4.8037","4.7713","4.695","4.741","4.7047","4.5932","4.605","4.5042","4.3365","4.3058","4.187"
"17","4.0057","4.1458","3.9427","3.7683","3.5865","3.5173","4.1513","4.325","4.473","4.73","5.013","5.0467","4.9228","5.0385","5.0537","4.9432","5.0147","4.9062","4.6232","4.6172","4.3892","4.208","4.2133","4.095"
